GUID	标题	资源类型	检查类型	路径	白名单规则	参数	危险等级	是否参与特效检测	是否参与CICD检测	是否检查子目录	备注
35	特效纹理尺寸-Textures/GamePlay/Backpack	1	0	Assets/Art/Effects/Textures/GamePlay/Backpack		2;2	1	True	True	True	
36	特效纹理命名-Textures/GamePlay/Backpack	6	0	Assets/Art/Effects/Textures/GamePlay/Backpack		^Sfx_Backpack_	1	True	True	True	
37	特效纹理尺寸-Textures/GamePlay/Buff	1	0	Assets/Art/Effects/Textures/GamePlay/Buff		2;2	1	True	True	True	
38	特效纹理命名-Textures/GamePlay/Buff	6	0	Assets/Art/Effects/Textures/GamePlay/Buff		^Sfx_Buff_	1	True	True	True	
39	特效纹理尺寸-Textures/GamePlay/Bullet	1	0	Assets/Art/Effects/Textures/GamePlay/Bullet		2;2	1	True	True	True	
40	特效纹理命名-Textures/GamePlay/Bullet	6	0	Assets/Art/Effects/Textures/GamePlay/Bullet		^Sfx_Bullet_	1	True	True	True	
41	特效纹理尺寸-Textures/GamePlay/Carrier	1	0	Assets/Art/Effects/Textures/GamePlay/Carrier		3;3	1	True	True	True	; 序列帧 256，单个图片 128
42	特效纹理命名-Textures/GamePlay/Carrier	6	0	Assets/Art/Effects/Textures/GamePlay/Carrier		^Sfx_Carrier_	1	True	True	True	; 序列帧 256，单个图片 128
43	特效纹理尺寸-Textures/GamePlay/EffBG	1	0	Assets/Art/Effects/Textures/GamePlay/EffBG		3;3	1	True	True	True	; 派对卡背景在游戏中显示范围比较大，需要显示清晰
44	特效纹理命名-Textures/GamePlay/EffBG	6	0	Assets/Art/Effects/Textures/GamePlay/EffBG		^Sfx_EffBG_	1	True	True	True	; 派对卡背景在游戏中显示范围比较大，需要显示清晰
45	特效纹理尺寸-Textures/GamePlay/Expression	1	0	Assets/Art/Effects/Textures/GamePlay/Expression		2;2	1	True	True	True	
46	特效纹理命名-Textures/GamePlay/Expression	6	0	Assets/Art/Effects/Textures/GamePlay/Expression		^Sfx_Expression_	1	True	True	True	
47	特效纹理尺寸-Textures/GamePlay/Item	1	0	Assets/Art/Effects/Textures/GamePlay/Item		3;3	1	True	True	True	; <=256，需要合并贴图
48	特效纹理命名-Textures/GamePlay/Item	6	0	Assets/Art/Effects/Textures/GamePlay/Item		^Sfx_Item_	1	True	True	True	; <=256，需要合并贴图
49	特效纹理尺寸-Textures/GamePlay/Object	1	0	Assets/Art/Effects/Textures/GamePlay/Object		3;3	1	True	True	True	; <=256，会涉及到一些特殊图案序列帧贴图
50	特效纹理命名-Textures/GamePlay/Object	6	0	Assets/Art/Effects/Textures/GamePlay/Object		^object_	1	True	True	True	; <=256，会涉及到一些特殊图案序列帧贴图
51	特效纹理尺寸-Textures/GamePlay/Show	1	0	Assets/Art/Effects/Textures/GamePlay/Show		3;3	1	True	True	True	; <=256，需要合并贴图
52	特效纹理命名-Textures/GamePlay/Show	6	0	Assets/Art/Effects/Textures/GamePlay/Show		^Sfx_Show_	1	True	True	True	; <=256，需要合并贴图
53	特效纹理尺寸-Textures/GamePlay/Scene	1	0	Assets/Art/Effects/Textures/GamePlay/Scene		3;3	1	True	True	True	
54	特效纹理命名-Textures/GamePlay/Scene	6	0	Assets/Art/Effects/Textures/GamePlay/Scene		^Sfx_Scene_	1	True	True	True	
55	特效纹理尺寸-Textures/GamePlay/Other	1	0	Assets/Art/Effects/Textures/GamePlay/Other		3;3	1	True	True	True	; 序列帧或者合并贴图 256，单个图片 128
56	特效纹理尺寸-Textures/UI	1	0	Assets/Art/Effects/Textures/UI		3;3	1	True	True	True	; 序列帧或者合并贴图 256，单个图片 128
57	特效纹理命名-Textures/UI	6	0	Assets/Art/Effects/Textures/UI		^Sfx_UI_	1	True	True	True	; 序列帧或者合并贴图 256，单个图片 128
58	特效纹理尺寸-Textures/Weapon	1	0	Assets/Art/Effects/Textures/Weapon		3;3	1	True	True	True	; 序列帧或者合并贴图 256，单个图片 128
59	特效纹理命名-Textures/Weapon	6	0	Assets/Art/Effects/Textures/Weapon		^Sfx_Weapon_	1	True	True	True	; 序列帧或者合并贴图 256，单个图片 128
60	特效纹理尺寸-Textures/Fashion	1	0	Assets/Art/Effects/Textures/Fashion		3;3	1	True	True	True	; 序列帧或者合并贴图 256，单个图片 128
61	特效纹理命名-Textures/Fashion	6	0	Assets/Art/Effects/Textures/Fashion		^Sfx_Fashion_	1	True	True	True	; 序列帧或者合并贴图 256，单个图片 128
62	特效材质球命名-Materials/Common/Fresnel	6	0	Assets/Art/Effects/Materials/Common/Fresnel		^fresnel_	1	True	True	True	
63	特效材质球命名-Materials/Common/Galaxy	6	0	Assets/Art/Effects/Materials/Common/Galaxy		^galaxy_	1	True	True	True	
64	特效材质球命名-Materials/Common/Glass	6	0	Assets/Art/Effects/Materials/Common/Glass		^glass_	1	True	True	True	
65	特效材质球命名-Materials/Common/Mask	6	0	Assets/Art/Effects/Materials/Common/Mask		^Alpha_	1	True	True	True	
66	特效材质球命名-Materials/Common/Noise	6	0	Assets/Art/Effects/Materials/Common/Noise		^Noise_	1	True	True	True	
67	特效材质球命名-Materials/Common/White	6	0	Assets/Art/Effects/Materials/Common/White		^white_	1	True	True	True	
68	特效材质球命名-Materials/Features/Elec	6	0	Assets/Art/Effects/Materials/Features/Elec		^elec_	1	True	True	True	
69	特效材质球命名-Materials/Features/Fire	6	0	Assets/Art/Effects/Materials/Features/Fire		^fire_	1	True	True	True	
70	特效材质球命名-Materials/Features/Pattern	6	0	Assets/Art/Effects/Materials/Features/Pattern		^pattern_	1	True	True	True	
71	特效材质球命名-Materials/Features/Ray	6	0	Assets/Art/Effects/Materials/Features/Ray		^ray_	1	True	True	True	
72	特效材质球命名-Materials/Features/Smoke	6	0	Assets/Art/Effects/Materials/Features/Smoke		^smoke_	1	True	True	True	
73	特效材质球命名-Materials/Features/Snow	6	0	Assets/Art/Effects/Materials/Features/Snow		^snow_	1	True	True	True	
74	特效材质球命名-Materials/Features/Star	6	0	Assets/Art/Effects/Materials/Features/Star		^star_	1	True	True	True	
75	特效材质球命名-Materials/Features/Trail	6	0	Assets/Art/Effects/Materials/Features/Trail		^trail_	1	True	True	True	
76	特效材质球命名-Materials/Features/Vein	6	0	Assets/Art/Effects/Materials/Features/Vein		^vein_	1	True	True	True	
77	特效材质球命名-Materials/Features/Water	6	0	Assets/Art/Effects/Materials/Features/Water		^water_	1	True	True	True	
78	特效材质球命名-Materials/GamePlay/Aerocraft	6	0	Assets/Art/Effects/Materials/GamePlay/Aerocraft		^Sfx_Aerocraft_	1	True	True	True	
79	特效材质球命名-Materials/GamePlay/Backpack	6	0	Assets/Art/Effects/Materials/GamePlay/Backpack		^Sfx_Backpack_	1	True	True	True	
80	特效材质球命名-Materials/GamePlay/Buff	6	0	Assets/Art/Effects/Materials/GamePlay/Buff		^Sfx_Buff_	1	True	True	True	
81	特效材质球命名-Materials/GamePlay/Bullet	6	0	Assets/Art/Effects/Materials/GamePlay/Bullet		^Sfx_Bullet_	1	True	True	True	
82	特效材质球命名-Materials/GamePlay/Carrier	6	0	Assets/Art/Effects/Materials/GamePlay/Carrier		^Sfx_Carrier_	1	True	True	True	
83	特效材质球命名-Materials/GamePlay/Character	6	0	Assets/Art/Effects/Materials/GamePlay/Character		^Sfx_Character_	1	True	True	True	
84	特效材质球命名-Materials/GamePlay/EffBG	6	0	Assets/Art/Effects/Materials/GamePlay/EffBG		^Sfx_EffBG_	1	True	True	True	
85	特效材质球命名-Materials/GamePlay/Expression	6	0	Assets/Art/Effects/Materials/GamePlay/Expression		^Sfx_Expression_	1	True	True	True	
86	特效材质球命名-Materials/GamePlay/Item	6	0	Assets/Art/Effects/Materials/GamePlay/Item		^Sfx_Item_	1	True	True	True	
87	特效材质球命名-Materials/GamePlay/MapEvent	6	0	Assets/Art/Effects/Materials/GamePlay/MapEvent		^Sfx_MapEvent_	1	True	True	True	
88	特效材质球命名-Materials/GamePlay/Show	6	0	Assets/Art/Effects/Materials/GamePlay/Show		^Sfx_Show_	1	True	True	True	
89	特效材质球命名-Materials/GamePlay/Tricks	6	0	Assets/Art/Effects/Materials/GamePlay/Tricks		^Sfx_Tricks_	1	True	True	True	
90	特效材质球命名-Materials/Fashion	6	0	Assets/Art/Effects/Materials/Fashion		^Sfx_Fashion_	1	True	True	True	
91	特效材质球命名-Materials/Object	6	0	Assets/Art/Effects/Materials/Object		^object_	1	True	True	True	
92	特效材质球命名-Materials/UI	6	0	Assets/Art/Effects/Materials/UI		^Sfx_UI_	1	True	True	True	
93	特效材质球命名-Materials/Scene	6	0	Assets/Art/Effects/Materials/Scene		^Sfx_Scene_	1	True	True	True	
94	特效材质球命名-Materials/Weapon	6	0	Assets/Art/Effects/Materials/Weapon		^Sfx_Weapon_	1	True	True	True	
95	特效纹理的读写权限设置	1	2	Assets/Art/Effects/Textures		False	1	True	True	True	全部关闭
96	特效纹理的 Mip Maps 设置 (非 UI)	1	1	Assets/Art/Effects/Textures	Assets(\\|/)Art(\\|/)Effects(\\|/)Textures(\\|/)UI	True	1	True	True	True	
97	特效纹理的 Mip Maps 设置 (UI)	1	1	Assets/Art/Effects/Textures/UI		False	1	True	True	True	Assets/Art/Effects/Textures/UI 需要关闭 Mip Maps
